,,,,,,,,,,,,,,,,,1m,3m,6m,,YTD,,1a,,3a,,5a,,10a,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,,2025,
,,,,,,,,,,,,,,,,,01/03/2026,01/01/2026,01/10/2025,,01/01/2026,,01/04/2025,,01/04/2023,,01/04/2021,,01/04/2016,,01/01/2013,,01/01/2014,,01/01/2015,,01/01/2016,,01/01/2017,,01/01/2018,,01/01/2019,,01/01/2020,,01/01/2021,,01/01/2022,,01/01/2023,,01/01/2024,,01/01/2025,
,,,,,,,,,,,,,,,,,31/03/2026,31/03/2026,31/03/2026,,31/03/2026,,31/03/2026,,31/03/2026,,31/03/2026,,31/03/2026,,31/12/2013,,31/12/2014,,31/12/2015,,31/12/2016,,31/12/2017,,31/12/2018,,31/12/2019,,31/12/2020,,31/12/2021,,31/12/2022,,31/12/2023,,31/12/2024,,31/12/2025,
Fondo ,ISIN,Categoría Morningstar ,Categoría Mediolanum ,Gestora,Familia,EU SFDR (Artículo 8 o 9),Frecuencia reparto DIVIDENDO,InBest,InBest MW,Double Chance,Big Chance ,Fecha de lanzamiento,Indicador riesgo marzo (PRIIPS),RV Style Box,RF Style Box, PATRIMONIO  ,Rentabilidad,Rentabilidad,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  
Pictet-EUR High Yield I,LU0133806785,EAA Fund EUR High Yield Bond,Renta Fija High Yield,Pictet Asset Management (Europe) SA,Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,9/27/2001,2,,3," 429,775,888.76 € ",-2.37,-1.40,-0.66,3.91,-1.40,n.d.,3.98,3.20,7.61,3.29,2.75,5.97,3.36,6.65,10.27,4.06,2.88,3.82,0.79,5.32,7.53,5.64,6.62,1.98,-4.06,3.31,10.73,3.60,0.25,15.19,2.18,2.19,-12.06,10.73,12.88,4.83,8.64,1.69,5.77,2.30
Pictet-EUR High Yield I dm EUR,LU1417284582,EAA Fund EUR High Yield Bond,Renta Fija High Yield,Pictet Asset Management (Europe) SA,Terceros ,Artículo 8,Mensual,NO,NO,Sí,Sí,5/31/2016,2,,3," 429,775,888.76 € ",-2.37,-1.40,-0.66,3.92,-1.40,n.d.,3.98,3.21,7.61,3.29,2.76,5.97,,,,,,,,,,,6.63,1.99,-4.01,3.30,10.78,3.61,0.30,15.16,2.20,2.19,-12.06,10.73,12.88,4.83,8.64,1.69,5.77,2.30
Pictet-EUR High Yield P,LU0133807163,EAA Fund EUR High Yield Bond,Renta Fija High Yield,Pictet Asset Management (Europe) SA,Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,9/27/2001,2,,3," 429,775,888.76 € ",-2.41,-1.53,-0.92,3.91,-1.53,n.d.,3.43,3.20,7.03,3.29,2.21,5.97,2.82,6.64,9.67,4.05,2.31,3.82,0.23,5.32,6.95,5.63,6.04,1.99,-4.51,3.31,10.15,3.60,-0.25,15.15,1.63,2.18,-12.52,10.72,12.27,4.83,8.05,1.69,5.20,2.30
Pictet-EUR High Yield R dm,LU0592898299,EAA Fund EUR High Yield Bond,Renta Fija High Yield,Pictet Asset Management (Europe) SA,Terceros ,Artículo 8,Mensual,NO,NO,Sí,Sí,3/8/2011,2,,3," 429,775,888.76 € ",-2.46,-1.66,-1.18,3.91,-1.66,n.d.,2.90,3.21,6.49,3.29,1.70,5.96,2.31,6.64,9.12,4.06,1.80,3.82,-0.27,5.31,6.41,5.62,5.53,1.99,-4.99,3.31,9.62,3.61,-0.70,15.13,1.15,2.18,-12.94,10.71,11.71,4.83,7.50,1.68,4.67,2.31
Pictet-EUR Short Term High Yield I dmEUR,LU1417285472,EAA Fund EUR High Yield Bond,Renta Fija High Yield,Pictet Asset Management (Europe) SA,Terceros ,Artículo 8,Mensual,NO,NO,Sí,Sí,5/31/2016,2,,3," 1,480,326,602.32 € ",-1.57,-0.93,-0.13,2.69,-0.93,n.d.,3.08,2.11,5.43,2.02,2.95,3.87,,,,,,,,,,,1.85,0.93,-1.37,1.41,3.97,1.56,-1.08,14.25,2.82,1.13,-5.40,7.42,9.64,2.77,5.75,0.71,4.72,1.28
Pictet-EUR Short Term High Yield I EUR,LU0726357444,EAA Fund EUR High Yield Bond,Renta Fija High Yield,Pictet Asset Management (Europe) SA,Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,1/30/2012,2,,3," 1,480,326,602.32 € ",-1.58,-0.94,-0.13,2.70,-0.94,n.d.,3.08,2.12,5.43,2.03,2.94,3.88,2.26,5.22,6.07,1.96,0.53,2.50,2.31,2.21,4.79,2.25,1.74,0.90,-1.46,1.41,3.96,1.56,-1.08,14.24,2.80,1.14,-5.42,7.43,9.65,2.78,5.75,0.71,4.72,1.27
Pictet-EUR Short Term High Yield P EUR,LU0726357527,EAA Fund EUR High Yield Bond,Renta Fija High Yield,Pictet Asset Management (Europe) SA,Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,1/30/2012,2,,3," 1,480,326,602.32 € ",-1.62,-1.05,-0.35,2.70,-1.05,n.d.,2.62,2.12,4.96,2.02,2.49,3.87,1.83,5.21,5.59,1.97,0.08,2.50,1.85,2.20,4.31,2.25,1.32,0.90,-1.79,1.41,3.52,1.56,-1.53,14.24,2.35,1.13,-5.83,7.41,9.17,2.77,5.28,0.71,4.26,1.28
Pictet-EUR Short Term High Yield R dmEUR,LU0726358095,EAA Fund EUR High Yield Bond,Renta Fija High Yield,Pictet Asset Management (Europe) SA,Terceros ,Artículo 8,Mensual,NO,NO,Sí,Sí,3/19/2013,2,,3," 1,480,326,602.32 € ",-1.65,-1.14,-0.56,2.70,-1.14,n.d.,2.21,2.12,4.54,2.03,2.08,3.87,1.42,5.21,,,-0.32,2.50,1.44,2.21,3.91,2.24,0.89,0.91,-2.18,1.40,3.10,1.57,-1.92,14.24,1.94,1.13,-6.19,7.43,8.73,2.78,4.85,0.71,3.84,1.28
Pictet-Global Megatrend Sel I EUR,LU0386875149,EAA Fund Global Flex-Cap Equity,Renta Variable Internacional,Pictet Asset Management (Europe) SA,Terceros ,Artículo 8,n.a.,NO,Sí,Sí,Sí,10/31/2008,4,7,," 8,083,100,737.12 € ",-5.60,-6.84,-4.59,10.67,-6.84,n.d.,0.70,11.63,5.38,13.65,1.79,14.71,7.81,14.24,23.55,8.67,20.22,8.69,9.01,18.95,5.53,10.16,13.36,6.95,-5.97,13.30,31.73,12.14,15.12,22.92,20.27,6.70,-21.13,20.56,17.39,14.22,15.16,9.98,-1.75,16.21
Pictet-Multi Asset Global Opps I dm EUR,LU1777194553,EAA Fund EUR Cautious Allocation - Global,Multi Activos Flexible,Pictet Asset Management (Europe) SA,Terceros ,Artículo 8,Mensual,NO,NO,Sí,Sí,2/20/2018,3,4,," 5,820,518,192.86 € ",-3.95,-1.58,-0.23,6.96,-1.58,n.d.,5.48,5.22,6.89,5.39,2.53,5.95,,,,,,,,,,,,,,,7.79,3.38,4.78,6.10,4.42,1.99,-11.77,7.55,7.78,7.12,9.79,4.30,7.03,3.30
Pictet-Multi Asset Global Opps I EUR,LU0941348897,EAA Fund EUR Cautious Allocation - Global,Multi Activos Flexible,Pictet Asset Management (Europe) SA,Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,8/21/2013,3,4,," 5,820,518,192.86 € ",-3.95,-1.58,-0.24,6.96,-1.58,n.d.,5.47,5.22,6.89,5.39,2.53,5.95,2.96,4.98,,,7.62,1.67,4.26,6.31,3.92,2.17,1.38,1.99,-2.28,4.01,7.81,3.37,4.91,6.17,4.42,1.99,-11.79,7.55,7.78,7.12,9.79,4.30,7.03,3.30
Pictet-Multi Asset Global Opps P EUR,LU0941349192,EAA Fund EUR Cautious Allocation - Global,Multi Activos Flexible,Pictet Asset Management (Europe) SA,Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,8/21/2013,3,4,," 5,820,518,192.86 € ",-3.99,-1.69,-0.47,6.96,-1.69,n.d.,4.98,5.21,6.39,5.39,2.05,5.95,2.50,4.98,,,7.14,1.70,3.82,6.32,3.49,2.19,0.90,2.01,-2.75,4.01,7.30,3.38,4.53,6.18,4.06,2.03,-12.22,7.55,7.27,7.11,9.27,4.31,6.52,3.30
Pictet-Multi Asset Global Opps R dm EUR,LU1116037828,EAA Fund EUR Cautious Allocation - Global,Multi Activos Flexible,Pictet Asset Management (Europe) SA,Terceros ,Artículo 8,Mensual,NO,NO,Sí,Sí,9/30/2014,3,4,," 5,820,518,192.86 € ",-4.04,-1.83,-0.77,6.96,-1.83,n.d.,4.35,5.22,5.76,5.39,1.46,5.96,1.80,4.99,,,,,2.68,6.53,2.53,2.23,-0.01,2.02,-3.68,4.01,6.60,3.35,3.92,6.18,3.54,2.18,-12.76,7.56,6.65,7.11,8.63,4.30,5.88,3.30
Pictet-Nutrition I EUR,LU0366533882,EAA Fund Sector Equity Agriculture,Renta Variable Sectorial,Pictet Asset Management (Europe) SA,Terceros ,Artículo 9,n.a.,NO,Sí,Sí,Sí,5/28/2009,4,5,," 404,979,361.74 € ",-8.13,-5.18,-5.21,14.95,-5.18,n.d.,-14.31,12.86,-5.73,11.57,-5.16,12.61,2.57,12.18,4.79,8.40,13.99,7.33,1.65,19.09,7.32,8.10,10.76,6.01,-6.24,11.62,22.46,7.32,11.12,19.77,17.03,8.42,-17.79,18.37,-1.97,9.63,6.54,8.28,-13.30,12.72
Pictet-Water I EUR,LU0104884605,EAA Fund Sector Equity Water,Renta Variable Sectorial,Pictet Asset Management (Europe) SA,Terceros ,Artículo 9,n.a.,NO,Sí,Sí,Sí,1/19/2000,4,5,," 6,328,682,871.84 € ",-8.06,-3.90,-4.05,14.06,-3.90,n.d.,-2.33,13.02,4.03,13.35,4.20,14.90,8.06,14.07,18.09,10.66,16.55,8.79,11.33,16.67,10.04,7.38,10.68,7.21,-7.91,11.59,35.64,9.93,4.50,22.17,40.84,10.65,-17.36,21.09,12.00,12.89,10.69,12.27,-3.29,12.60
Pictet-Water P EUR,LU0104884860,EAA Fund Sector Equity Water,Renta Variable Sectorial,Pictet Asset Management (Europe) SA,Terceros ,Artículo 9,n.a.,NO,Sí,Sí,Sí,1/19/2000,4,5,," 6,328,682,871.84 € ",-8.13,-4.11,-4.47,14.06,-4.11,n.d.,-3.20,13.01,3.11,13.34,3.27,14.89,7.13,14.06,17.15,10.65,15.63,8.79,10.44,16.66,9.16,7.38,9.79,7.21,-8.64,11.58,34.49,9.93,3.56,22.15,39.58,10.64,-18.10,21.07,11.00,12.88,9.71,12.26,-4.15,12.59
Pictet - Global Megatrend Sel P EUR,LU0386882277,EAA Fund Global Flex-Cap Equity,Renta Variable Internacional,Pictet Asset Management (Europe) SA,Terceros ,Artículo 8,n.a.,NO,Sí,Sí,Sí,10/31/2008,4,7,," 8,083,100,737.12 € ",-5.68,-7.04,-5.00,10.67,-7.04,n.d.,-0.20,11.62,4.45,13.64,0.88,14.70,6.88,14.23,22.58,8.67,19.26,8.69,8.15,18.94,4.69,10.15,12.46,6.95,-6.71,13.29,30.62,12.14,14.08,22.90,19.20,6.70,-21.83,20.55,16.35,14.21,14.14,9.97,-2.63,16.19
Pictet SmartCity I EUR,LU0503633769,EAA Fund Global Large-Cap Blend Equity,Renta Variable Internacional,Pictet Asset Management (Europe) SA,Terceros ,Artículo 8,n.a.,NO,Sí,Sí,Sí,5/12/2010,4,4,," 476,602,840.46 € ",-7.00,-3.54,-4.61,12.97,-3.54,n.d.,-7.46,12.47,5.07,13.39,-0.92,15.47,4.26,14.38,17.26,8.23,9.12,6.55,7.13,15.87,7.73,6.01,2.70,7.45,-6.75,11.84,32.34,9.64,6.64,22.98,16.79,8.25,-25.55,22.59,14.73,16.07,13.54,11.25,-6.05,12.40
Pictet SmartCity P dm EUR,LU0550966351,EAA Fund Global Large-Cap Blend Equity,Renta Variable Internacional,Pictet Asset Management (Europe) SA,Terceros ,Artículo 8,Mensual,NO,Sí,Sí,Sí,12/15/2010,4,4,," 476,602,840.46 € ",-7.07,-3.74,-5.02,12.96,-3.74,n.d.,-8.26,12.45,4.16,13.38,-1.78,15.45,3.39,14.37,16.33,8.23,8.24,6.56,6.28,15.86,6.87,6.01,1.87,7.44,-7.51,11.84,31.27,9.64,5.75,22.96,15.79,8.23,-26.20,22.57,13.74,16.05,12.56,11.24,-6.86,12.39
Pictet SmartCity P EUR,LU0503634221,EAA Fund Global Large-Cap Blend Equity,Renta Variable Internacional,Pictet Asset Management (Europe) SA,Terceros ,Artículo 8,n.a.,NO,Sí,Sí,Sí,5/12/2010,4,4,," 476,602,840.46 € ",-7.07,-3.74,-5.02,12.97,-3.74,n.d.,-8.26,12.45,4.16,13.38,-1.78,15.45,3.39,14.37,16.33,8.23,8.25,6.55,6.28,15.86,6.87,6.00,1.88,7.44,-7.49,11.83,31.26,9.64,5.70,22.96,15.80,8.24,-26.20,22.56,13.75,16.05,12.56,11.24,-6.86,12.39
PIMCO GIS Cmdty Real Ret Instl EUR H Acc,IE00B5BJ5943,EAA Fund Commodities - Broad Basket,Multi Activos Estrategias Alternativas,PIMCO Global Advisors (Ireland) Limited,Terceros ,n.a.,n.a.,NO,NO,Sí,Sí,6/8/2010,4,3,1," 1,068,675,783.27 € ",9.94,22.31,28.11,15.08,22.31,n.d.,28.78,14.58,10.99,12.19,11.25,15.87,6.46,15.16,-10.09,9.18,-17.64,14.23,-26.00,15.85,13.16,13.30,0.68,6.07,-15.49,9.28,6.91,10.63,-0.30,25.39,30.47,14.10,8.55,25.44,-9.90,12.21,2.13,8.45,15.16,9.21
PIMCO GIS Divers Inc Instl EURH Acc,IE00B1JC0H05,EAA Fund Global Flexible Bond - EUR Hedged,Renta Fija Flexible,PIMCO Global Advisors (Ireland) Limited,Terceros ,n.a.,n.a.,NO,NO,Sí,Sí,2/14/2007,2,3,5," 8,520,063,682.00 € ",-2.71,-1.35,0.22,4.78,-1.35,n.d.,4.75,3.74,5.48,4.89,-0.09,7.21,2.19,6.71,-1.00,6.43,3.88,5.06,-0.97,5.78,10.27,5.29,6.27,2.20,-3.99,2.44,10.99,3.20,5.76,12.09,-0.95,3.25,-18.31,11.43,6.99,7.79,5.07,4.42,7.97,2.22
PIMCO GIS Divers Inc Inv EURH Acc,IE00B120J296,EAA Fund Global Flexible Bond - EUR Hedged,Renta Fija Flexible,PIMCO Global Advisors (Ireland) Limited,Terceros ,n.a.,n.a.,NO,NO,Sí,Sí,7/5/2007,2,3,5," 8,520,063,682.00 € ",-2.72,-1.44,0.06,4.77,-1.44,n.d.,4.44,3.71,5.10,4.90,-0.44,7.20,1.83,6.70,-1.38,6.45,3.45,5.10,-1.28,5.78,9.86,5.30,5.96,2.23,-4.33,2.43,10.59,3.17,5.37,12.07,-1.33,3.27,-18.60,11.37,6.69,7.85,4.66,4.38,7.60,2.26
PIMCO GIS Dynamic Bd Instl EUR H Acc,IE00B4R5BP74,EAA Fund Global Flexible Bond - EUR Hedged,Renta Fija Flexible,PIMCO Global Advisors (Ireland) Limited,Terceros ,n.a.,n.a.,NO,NO,Sí,Sí,5/21/2009,2,2,5," 3,866,338,590.77 € ",-2.14,-1.08,0.22,3.76,-1.08,n.d.,3.16,3.13,4.71,3.12,0.62,3.63,1.56,3.41,-2.45,2.14,2.18,1.72,-2.63,3.18,3.96,3.98,2.68,1.20,-1.26,1.00,1.76,1.87,4.09,6.37,-0.60,1.38,-9.95,4.39,4.98,4.25,4.82,2.30,6.37,1.83
PIMCO GIS Dynamic Bd Investor EUR H Acc,IE00B3QDZQ43,EAA Fund Global Flexible Bond - EUR Hedged,Renta Fija Flexible,PIMCO Global Advisors (Ireland) Limited,Terceros ,n.a.,n.a.,NO,NO,Sí,Sí,1/31/2011,2,2,5," 3,866,338,590.77 € ",-2.12,-1.11,0.09,3.70,-1.11,n.d.,2.85,3.07,4.40,3.01,0.30,3.58,1.23,3.40,-2.79,2.16,1.82,1.76,-2.91,3.21,3.58,3.98,2.34,1.24,-1.64,1.06,1.49,1.83,3.75,6.44,-0.97,1.34,-10.24,4.46,4.56,4.11,4.55,2.11,5.99,1.79
PIMCO GIS Em Mkts Bd Instl EURH Acc,IE0032568770,EAA Fund Global Emerging Markets Bond - EUR Hedged,Renta Fija Países Emergentes,PIMCO Global Advisors (Ireland) Limited,Terceros ,n.a.,n.a.,NO,NO,Sí,Sí,12/17/2002,3,3,8," 5,989,882,927.36 € ",-3.69,-1.49,1.34,6.98,-1.49,n.d.,9.12,5.45,8.61,6.79,1.47,9.13,2.68,9.25,-6.65,8.45,1.54,8.09,-3.09,8.49,12.98,8.41,8.06,2.89,-7.07,5.31,12.22,5.24,4.88,18.06,-3.21,5.57,-19.05,14.25,9.24,9.94,6.57,5.77,13.76,3.32
PIMCO GIS Glb Bd Instl EURH Acc,IE0032875985,EAA Fund Global Diversified Bond - EUR Hedged,Renta Fija Diversificada,PIMCO Global Advisors (Ireland) Limited,Terceros ,n.a.,n.a.,No ,No,Sí,Sí,4/4/2003,2,3,8," 15,291,771,044.78 € ",-3.28,-1.89,-1.06,5.57,-1.89,n.d.,1.19,4.16,2.77,4.49,-0.76,5.20,0.77,4.24,-0.73,3.76,8.91,1.51,0.48,3.76,4.39,3.26,2.54,1.61,-1.73,1.34,5.33,2.61,6.03,4.42,-2.29,2.29,-13.25,6.74,5.71,6.34,2.44,4.07,4.47,2.03
PIMCO GIS Glb Hi Yld Bd Instl EUR H Acc,IE00B2R34Y72,EAA Fund Global High Yield Bond - EUR Hedged,Renta Fija High Yield,PIMCO Global Advisors (Ireland) Limited,Terceros ,n.a.,n.a.,NO,NO,Sí,Sí,5/2/2008,2,,3," 2,348,195,677.32 € ",-1.84,-1.49,-0.29,3.09,-1.49,n.d.,3.78,2.70,5.91,3.86,1.95,6.81,3.19,6.82,6.01,4.65,2.89,4.19,-0.97,5.83,10.92,4.54,5.16,2.13,-5.04,3.47,11.91,4.82,2.54,13.59,2.68,2.48,-12.28,12.65,10.58,6.36,5.90,2.53,5.96,2.07
PIMCO GIS Glb Hi Yld Bd Inv EURH Acc,IE00B566G866,EAA Fund Global High Yield Bond - EUR Hedged,Renta Fija High Yield,PIMCO Global Advisors (Ireland) Limited,Terceros ,n.a.,n.a.,NO,NO,Sí,Sí,1/5/2011,2,,3," 2,348,195,677.32 € ",-1.91,-1.57,-0.50,3.12,-1.57,n.d.,3.42,2.72,5.55,3.87,1.59,6.81,2.83,6.81,5.66,4.61,2.49,4.18,-1.24,5.79,10.48,4.54,4.84,2.11,-5.38,3.48,11.48,4.85,2.19,13.57,2.31,2.45,-12.60,12.65,10.19,6.34,5.54,2.55,5.57,2.08
PIMCO GIS GlInGd Crdt Instl EURH Acc,IE0032876397,EAA Fund Global Corporate Bond - EUR Hedged,Renta Fija Corporate,PIMCO Global Advisors (Ireland) Limited,Terceros ,n.a.,n.a.,NO,NO,Sí,Sí,9/15/2003,2,3,8," 6,419,396,090.82 € ",-2.94,-1.34,-0.67,5.15,-1.34,n.d.,2.19,3.96,3.52,5.18,-1.03,6.59,0.81,6.16,-0.99,5.01,7.32,2.81,0.06,3.93,5.94,4.10,4.40,1.73,-3.58,1.78,9.29,2.80,4.05,11.49,-2.26,3.21,-17.35,9.26,6.78,7.79,2.73,4.89,5.26,2.61
PIMCO GIS GlInGd Crdt Inv EURH Acc,IE00B063CF11,EAA Fund Global Corporate Bond - EUR Hedged,Renta Fija Corporate,PIMCO Global Advisors (Ireland) Limited,Terceros ,n.a.,n.a.,NO,NO,Sí,Sí,5/8/2006,2,3,8," 6,419,396,090.82 € ",-2.99,-1.44,-0.89,5.17,-1.44,n.d.,1.83,3.98,3.16,5.19,-1.39,6.60,0.46,6.17,-1.33,5.02,6.95,2.79,-0.24,3.88,5.49,4.10,4.11,1.71,-3.90,1.81,8.85,2.78,3.67,11.52,-2.58,3.16,-17.66,9.30,6.44,7.81,2.37,4.85,4.86,2.64
PIMCO GIS Income Instl EURH Acc,IE00B80G9288,EAA Fund Global Flexible Bond - EUR Hedged,Renta Fija Flexible,PIMCO Global Advisors (Ireland) Limited,Terceros ,n.a.,n.a.,NO,NO,Sí,Sí,11/30/2012,2,3,5," 107,742,624,418.82 € ",-2.61,-1.17,0.56,4.75,-1.17,n.d.,3.96,3.89,5.07,4.54,1.65,5.68,2.65,5.34,4.52,4.79,7.30,3.01,2.52,2.96,6.80,2.26,5.21,1.19,-2.55,1.63,5.98,2.46,4.52,10.77,1.69,2.05,-9.63,8.43,6.17,6.76,3.74,4.44,8.21,2.52
PIMCO GIS Income Instl EURH Inc,IE00B8D0PH41,EAA Fund Global Flexible Bond - EUR Hedged,Renta Fija Flexible,PIMCO Global Advisors (Ireland) Limited,Terceros ,n.a.,Mensual,NO,NO,Sí,Sí,11/30/2012,2,3,5," 107,742,624,418.82 € ",-2.54,-1.16,0.55,4.62,-1.16,n.d.,3.98,3.84,5.11,4.50,1.66,5.63,2.66,5.32,4.40,4.75,7.22,2.97,2.57,2.94,6.73,2.37,5.32,1.17,-2.62,1.56,6.02,2.49,4.50,10.80,1.72,2.03,-9.66,8.33,6.14,6.72,3.75,4.40,8.27,2.51
PIMCO GIS Ttl Ret Bd Instl EURH Acc,IE0033989843,EAA Fund Other Bond,Renta Fija Flexible,PIMCO Global Advisors (Ireland) Limited,Terceros ,n.a.,n.a.,NO,NO,Sí,Sí,12/30/2003,3,3,8," 3,782,762,203.74 € ",-2.62,-0.92,0.05,4.90,-0.92,n.d.,2.91,4.18,2.93,5.89,-1.31,6.77,0.16,5.32,-2.25,4.31,4.00,2.87,0.29,3.40,1.73,3.31,2.88,1.64,-3.80,2.26,5.81,3.36,7.47,4.12,-2.09,2.94,-17.20,8.80,3.82,8.48,1.10,5.94,7.09,3.36
PIMCO GIS Ttl Ret Bd Inv EURH Acc,IE00B0105X63,EAA Fund Other Bond,Renta Fija Flexible,PIMCO Global Advisors (Ireland) Limited,Terceros ,n.a.,n.a.,NO,NO,Sí,Sí,12/30/2004,3,3,8," 3,782,762,203.74 € ",-2.68,-0.99,-0.10,4.99,-0.99,n.d.,2.51,4.19,2.58,5.91,-1.65,6.78,-0.19,5.33,-2.56,4.27,3.61,2.84,-0.05,3.38,1.35,3.32,2.51,1.64,-4.12,2.21,5.45,3.37,7.12,4.13,-2.48,2.96,-17.44,8.85,3.47,8.47,0.69,5.97,6.71,3.33
Robeco BP Global Premium Eqs FH EUR,LU1736383024,EAA Fund Other Equity,Renta Variable Internacional,Robeco Institutional Asset Management BV,Terceros ,Artículo 8,n.a.,No ,Sí,Sí,Sí,12/14/2017,4,1,," 7,264,698,470.90 € ",-6.23,0.11,5.86,12.58,0.11,n.d.,18.09,9.68,14.97,10.32,10.62,12.66,,,,,,,,,,,,,-15.47,13.41,17.34,12.77,0.02,30.03,24.70,11.78,-2.15,19.80,11.80,12.61,11.83,9.56,24.54,6.71
Robeco BP US Premium Equities F €,LU0832430747,EAA Fund US Large-Cap Value Equity,Renta Variable Norte América,Robeco Institutional Asset Management BV,Terceros ,Artículo 8,n.a.,No,Sí,Sí,Sí,9/27/2012,4,1,," 4,681,560,645.74 € ",-2.92,-1.00,2.85,5.95,-1.00,n.d.,3.85,10.86,9.32,11.46,8.72,12.93,10.02,15.59,32.13,10.48,27.04,7.66,11.58,17.88,16.91,15.94,3.25,8.50,-8.75,16.05,31.25,15.41,-4.39,28.24,33.85,11.37,3.00,19.36,8.12,10.51,16.22,12.17,2.62,13.51
Robeco Emerging Stars Equities F €,LU0792910050,EAA Fund Global Emerging Markets Equity,Renta Variable Países Emergentes,Robeco Institutional Asset Management BV,Terceros ,Artículo 8,n.a.,No,Sí,Sí,Sí,7/3/2012,4,4,," 3,543,463,176.23 € ",-9.46,6.81,13.52,25.17,6.81,n.d.,36.52,20.49,17.91,14.90,7.69,15.59,9.54,15.55,-3.09,12.93,14.56,13.62,-4.92,20.94,17.21,10.32,18.31,8.82,-14.02,10.77,29.28,14.94,0.82,27.22,8.49,8.23,-15.16,19.85,13.26,14.36,7.65,10.74,31.77,14.20
Robeco Global Stars Equities F EUR,LU0940004913,EAA Fund Global Large-Cap Blend Equity,Renta Variable Internacional,Robeco Institutional Asset Management BV,Terceros ,Artículo 8,n.a.,NO,Sí,Sí,Sí,9/3/2013,4,4,," 2,061,899,298.19 € ",-4.78,-3.98,-0.74,9.90,-3.98,n.d.,4.48,11.17,12.42,11.31,8.98,13.11,11.79,13.11,24.08,7.70,17.38,7.38,11.59,18.14,7.35,10.37,10.46,5.43,-4.23,13.94,31.89,11.04,15.14,21.47,29.25,10.24,-14.92,18.45,20.76,6.88,29.06,10.12,1.05,14.10
Robeco QI Global Conservative Eqs F €,LU1493700642,EAA Fund Global Large-Cap Blend Equity,Renta Variable Internacional,Robeco Institutional Asset Management BV,Terceros ,Artículo 8,n.a.,No,Sí,Sí,Sí,9/22/2016,3,1,," 537,648,107.55 € ",-1.17,3.24,6.60,6.21,3.24,n.d.,8.28,6.76,11.32,7.28,9.57,8.91,,,,,,,,,,,2.89,5.98,-3.16,9.36,26.51,7.51,-10.63,19.94,28.26,9.87,-3.05,13.65,5.38,3.67,20.62,8.49,4.81,7.80
Robeco Smart Materials F EUR,LU2145464264,EAA Fund Sector Equity Industrial Materials,Renta variable Sectorial,Robeco Institutional Asset Management BV,Terceros ,Artículo 9,n.a.,NO,Sí,Sí,Sí,10/29/2020,4,8,," 470,508,865.01 € ",-7.85,18.73,31.25,30.94,18.73,n.d.,52.67,23.67,10.39,20.80,5.73,21.39,10.49,19.55,18.68,10.14,9.43,7.18,7.14,20.41,17.20,14.20,27.06,8.60,-17.28,15.84,18.83,17.38,19.43,28.71,25.39,9.81,-20.65,27.23,11.99,23.40,-1.46,12.58,14.46,19.70
Schroder ISF EURO Crdt Convct C Acc EUR,LU0995119822,EAA Fund EUR Corporate Bond,Renta Fija Corporate,Schroder Investment Management (Europe) S.A.,Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,12/18/2013,2,,5," 3,546,546,618.94 € ",-2.56,-1.15,-0.63,4.37,-1.15,n.d.,2.88,3.27,6.70,3.54,0.70,6.44,2.75,6.11,,,9.74,1.66,2.13,4.50,7.45,4.38,6.84,1.73,-3.02,2.18,10.42,2.97,5.47,11.84,-0.46,1.77,-16.21,11.33,11.26,5.28,7.59,2.76,4.48,1.96
Schroder ISF EURO Govt Bd A Acc EUR,LU0106235962,EAA Fund EUR Government Bond,Renta Fija Gobierno Euro - Medio Largo Plazo ,Schroder Investment Management (Europe) S.A.,Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,1/17/2000,3,,8," 492,033,860.00 € ",-2.74,-0.72,-0.47,5.17,-0.72,n.d.,0.97,3.89,1.98,4.76,-3.43,6.55,-0.88,5.43,2.35,4.15,12.29,1.87,1.42,5.53,2.89,4.54,-0.36,3.03,0.01,2.97,6.45,4.95,5.02,3.99,-3.88,4.02,-20.55,9.11,6.37,6.92,1.41,4.64,0.70,2.88
